Id,Label,timeset,posts,views,followers,Degree
33041672,SeyedMHosseini,,1,0,0,1
34852668,Mahdipanah,,1,327,0,2
36547923,Mohamadnikpay,,4,18,0,2
38224610,Arefeh_Monajem,,1,0,0,1
38506439,Kereshmeshoreshi,,1,0,0,1
38527216,saied104,,2,0,0,2
44894988,M1982p,,5,113,0,1
46741024,hrafati,,4,103,0,1
52065128,52065128,,1,0,0,1
52693578,Gohardani53,,4,0,0,2
54281037,54281037,,2,0,0,1
56440005,A_Salehabadi,,3,19,0,1
59632560,farhang_ebrahimnezhad,,1,0,0,1
61565683,Hmoazenzade,,1,550,0,1
66599215,ARSHIAmanoto,,37,0,0,22
68239434,Karimli41,,3,44,0,2
68471448,Yayaya5,,1,0,0,1
70089862,Benyamin_Adibzadeh,,1,0,0,5
72779232,72779232,,3,23,0,1
75656705,Enghelab_geram_ad,,2,32,0,2
75752673,kermanytr,,1,632,0,2
82013254,Hajahmadreza,,1,0,0,1
86654197,Pakdh,,13,33,0,9
87133865,Hidajsity98,,2,0,0,1
88449818,Mohsen_ansari,,1,0,0,1
92170385,god_allah_rajayi,,1,0,0,1
93217622,saffarinia,,1,0,0,1
94563153,ar_bakhtari,,2,0,0,40
95893630,mohsenkoohzad,,1,0,0,1
98510961,Farshadgz,,1,0,0,1
100776861,Ms_Gh62,,1,2018,0,1
101276953,R_S_moghadam,,1,0,0,1
102238132,Negahdar1,,1,0,0,1
104526406,b_daliri,,2,0,0,2
105324929,Ak40m,,1,0,0,1
106749690,106749690,,1,0,0,1
111183483,seyed72habib,,1,0,0,1
113595614,Roushan47,,1,0,0,1
114381652,114381652,,1,0,0,1
117160073,mkhorasani,,1,0,0,1
117832007,Nasrollahkhalili,,1,97,0,1
118286165,Moslemrostamani,,1,0,0,1
119261418,Mohammmmmmmmmmmmmaad,,1,0,0,1
127954182,Deltaa110,,1,0,0,1
129079785,hazf_bot,,161,372,0,104
130513832,Forogh_fa,,2,0,0,1
131910470,Adisaravani,,2,0,0,1
132101701,Mohammadshakerinezhad,,1,0,0,1
138023960,Sayyad_delha,,1,0,0,1
150239802,AbolfazlBehesht,,3,0,0,1
150834808,eshghast_hosein,,3,13,0,2
159722278,tgtala2,,1,0,0,1
163397312,Mre1419,,1,0,0,1
163919913,OnLyvz,,1,0,0,1
167835256,Rahimpour19,,2,0,0,1
170471820,Mahdizahedikeyvan,,1,4,0,1
170507303,Seyyed_mirsoleymani,,1,0,0,1
178294475,MAHMOUDAMIRI494,,2,0,0,2
179106261,Majiidgh46,,1,734,0,1
179683204,Mehrdad9700,,1,0,0,1
188591984,Liuon1360,,1,0,0,1
190200994,m_gh_026,,2,39,0,1
190601014,like,,1,51,0,1
191243967,AxNegarBot,,34,9663,0,24
191904096,Afsoungar,,1,114,0,1
198811789,Hyjhfd,,1,1,0,1
199052979,Leila5953,,1,0,0,1
200389711,attachbot,,132,38185,0,166
201937931,aminhossine2019,,1,0,0,1
202904239,Alizadehmohammadreza,,1,0,0,1
209510976,Rbejkol,,2,42,0,1
224971281,Fatemeh_Toghiyan,,6,0,0,5
233296346,ali_nasirpur,,1,7,0,1
249370840,Seyed_salleh,,6,41,0,3
251548276,S_barabadi,,1,0,0,1
311122482,daa4545,,1,87,0,4
316550671,Rainbow00193,,3,0,0,3
343249035,Mehdi4890,,1,0,0,1
371099679,371099679,,40,0,0,12
380592098,380592098,,2,12,0,1
395365604,BChatBot,,2,26,0,2
398332995,Hajbasyre,,1,0,0,1
415529363,Amansaki,,1,0,0,1
417165542,Sardar8725,,1,0,0,1
417529910,BiChatBot,,1,52,0,1
466006532,WeNameBot,,2,77,0,2
480522211,Mori9170,,1,0,0,1
496841770,amirhosseinshad,,1,66,0,5
507640485,507640485,,1,13,0,2
518261853,PivastBot,,2,724,0,18
523842855,hoseyein,,1,0,0,1
535199877,mmjshi,,1,0,0,1
544599399,544599399,,2,0,0,1
557902132,Amin221222,,1,0,0,1
563911806,Ulltra_bot,,13,37,0,8
582192144,582192144,,1,0,0,1
610694109,Bagher2195,,1,0,0,1
628044193,Mohsen1997safa,,1,0,0,1
638453664,Sam5784,,1,0,0,1
653524571,653524571,,3,1,0,1
659886491,659886491,,2,0,0,1
662148930,Norouzi444khosro,,1,0,0,1
695992412,M1669d,,7,0,0,5
718282745,oneamazing,,1,0,0,1
761108219,ads_spe,,2,0,0,1
773232741,Arezoyou,,1,0,0,1
828133799,username111222333,,4,0,0,4
831294218,831294218,,1,23,0,1
841818783,841818783,,1,0,0,1
860772047,Ahmadkaramiostandari,,1,0,0,1
867197037,mohammaddd1356,,2,0,0,2
887216200,SSaeidT,,1,0,0,1
920107915,javadlahooti,,3,28,0,5
923620058,Z_poloei,,2,45,0,1
944122863,Seyd1351,,1,0,0,1
1000011050,donyaijamgharb,,48,1985,2439,1
1000013956,goftareno,,9,715,1549,2
1000014928,jokmouk,,2,0,81668,1
1000018594,SharghDaily,,127,30765,11914,59
1000029837,Seagh,,1,0,3284,1
1000030039,DARTIMOS,,1,0,23729,1
1000039922,melitarism2,,59,16060,13119,46
1000069857,ahkiran,,6,2046,4546,1
1000075602,RahbordChannel,,1,6008,11413,35
1000077632,Atikalapublic,,6,0,1592,5
1000078989,sedayetaybad,,4,318,1738,3
1000089698,pgnews,,22,3884,15859,69
1000122962,iaush,,2,856,2508,1
1000130735,eghtesadbazar,,17,5026,16105,12
1000133500,bayan_news,,15,0,1577,11
1000141934,pezeshkanghanon,,2,1627,13909,2
1000147323,tabeshnet,,1,0,870,1
1000163449,zagrosfanoos,,18,484,5937,11
1000170334,sbcch,,11,1913,2888,6
1000174928,zendegiasheghaneh1,,1,0,3079,1
1000180159,bourse24ir,,71,256951,123475,34
1000185658,petrotahlil,,4,4865,8138,1
1000186879,donyayebank,,9,0,725,5
1000193962,tabrizsiasat,,38,0,11602,28
1000198153,babolshahreman,,1,0,36944,1
1000199571,chehlmahnews,,2,4085,10304,1
1000199765,peigham_ir,,29,0,133,19
1000203799,novinaddlink,,1,0,883,1
1000207081,ppnachannel,,6,1442,10138,5
1000241310,Hamedanpayam,,29,6222,13044,11
1000253785,behdashtian,,2,0,44488,1
1000256732,amoleziba,,2,0,8943,2
1000264279,somesara,,2,0,11501,2
1000266717,modafean_e_harim,,1,0,123,1
1000309373,zeeendegy,,4,11392,86525,2
1000324040,gilasmilas,,6,0,842043,5
1000335230,avayyeshomal,,1,0,5259,1
