Id,Label,timeset,modularity_class,componentnumber,Degree
0,aa,,0,0,2
1,aaa,,3348,1,7
2,aaafivediamond,,7377,1,3
3,aaanews,,7377,1,3
4,aacrowellt,,1,2,2
5,aaron,,2,3,2
6,aaronmcallorum,,3,4,2
7,aaszkler,,4,5,2
8,ab,,3738,6,4
9,abandon,,5,7,2
10,abandoned,,842,1,3
11,abbas,,6,8,2
12,abbott,,7,9,2
13,abbydnyc,,8,10,2
14,abc,,2591,1,19
15,abcfamily,,9,11,2
16,abcinsc,,10,12,2
17,abcnews,,11,13,2
18,abcpolitics,,12,14,3
19,abcsharktank,,13,15,2
20,abcworldnews,,1750,16,3
21,abdel,,14,17,3
22,abdul,,15,18,2
23,abdullah,,559,1,4
24,abe,,3323,1,9
25,abedin,,2685,1,7
26,abedini,,3708,1,6
27,aberdeen,,2139,1,11
28,aberdeencc,,2139,1,7
29,aberdeenshire,,2139,1,11
30,aberdeenshirecc,,2139,1,3
31,abeshinzo,,3323,1,7
32,abfalecbaldwin,,16,19,2
33,abiding,,842,1,5
34,ability,,17,20,2
35,able,,2471,1,5
36,aboard,,7294,1,3
37,abolish,,842,1,6
38,abortion,,842,1,17
39,abouttherock,,18,21,2
40,abraham,,7393,1,8
41,abrams,,2685,1,4
42,abroad,,842,1,3
43,abrupt,,19,22,2
44,abruptly,,20,23,2
45,absentee,,1350,1,3
46,absolute,,21,24,2
47,absolutely,,842,1,3
48,absorb,,22,25,2
49,abspara,,23,26,2
50,absurd,,24,27,2
51,abt,,25,28,2
52,abu,,3708,1,6
53,abunnieslife,,26,29,3
54,abuse,,1350,1,7
55,abused,,27,30,2
56,abuser,,28,31,2
57,abusing,,29,32,2
58,abusive,,30,33,2
59,abysmal,,31,34,2
60,ac,,2432,35,4
61,academic,,32,36,2
62,academy,,3348,1,4
63,accelerated,,33,37,2
64,accept,,34,38,2
65,acceptable,,35,39,2
66,acceptance,,36,40,2
67,accepted,,2106,1,3
68,accepting,,37,41,2
69,accepts,,38,42,2
70,access,,39,43,2
71,accesshollywood,,40,44,2
72,accessible,,41,45,2
73,accessory,,42,46,2
74,accident,,7294,1,5
75,accidental,,43,47,2
76,accidentally,,44,48,2
77,acclaim,,45,49,2
78,acclaimed,,46,50,2
79,accolade,,3348,1,4
80,accommodation,,3348,1,5
81,accomplish,,842,1,7
82,accomplished,,2471,1,5
83,accomplishing,,47,51,3
84,accomplishment,,496,52,3
85,accord,,2804,1,3
86,according,,7377,1,5
87,accordingly,,48,53,3
88,account,,4450,1,6
89,accountability,,49,54,2
90,accountable,,3708,1,3
91,accounting,,50,55,2
92,accronin,,51,56,2
93,accrued,,52,57,2
94,accruing,,53,58,2
95,acct,,54,59,2
96,accumulate,,55,60,2
97,accumulated,,2106,1,3
98,accumulation,,56,61,2
99,accuracy,,57,62,2
100,accurate,,2591,1,3
101,accurately,,3061,1,3
102,accusation,,2591,1,3
103,accused,,58,63,2
104,accuser,,59,64,2
105,accuses,,60,65,2
106,accusing,,61,66,2
107,ace,,62,67,2
108,achieve,,7393,1,6
109,achieved,,63,68,2
110,achievement,,7393,1,7
111,achiever,,7393,1,15
112,achieverdan,,64,69,2
113,achieving,,65,70,2
114,acid,,1350,1,11
115,ackmann,,2117,1,4
116,acknowledge,,2591,1,3
117,acknowledged,,66,71,2
118,acknowledging,,842,1,8
119,acn,,67,72,2
120,acnnews,,68,73,2
121,acosta,,69,74,2
122,acquire,,70,75,2
123,acquiring,,71,76,2
124,acquisition,,3917,1,3
125,acquitted,,72,77,2
126,acre,,2139,1,15
127,across,,842,1,5
128,act,,842,1,13
129,acted,,73,78,2
130,acting,,1350,1,9
131,action,,1025,1,6
132,active,,74,79,2
133,actively,,75,80,2
134,activism,,7377,1,3
135,activist,,76,81,2
136,activity,,842,1,3
137,actor,,77,82,2
138,actress,,78,83,2
139,actual,,1025,1,4
140,actuality,,79,84,2
141,actually,,2591,1,4
142,actuallydominic,,80,85,2
143,acu,,7393,1,4
144,acuconservative,,1595,86,3
145,acumen,,81,87,2
146,ad,,82,1,21
147,adair,,83,88,2
148,adam,,1025,1,27
149,adamangus,,84,89,2
150,adamcarolla,,85,90,3
151,adamscott,,86,91,2
152,adamsteinbaugh,,87,92,2
153,adapt,,88,93,2
154,add,,3348,1,3
155,added,,2106,1,3
156,addicted,,89,94,2
157,addicting,,90,95,2
158,addiction,,91,96,2
159,adding,,2106,1,4
160,addition,,3348,1,3
161,additional,,3708,1,5
162,additionally,,92,97,2
163,address,,3355,1,9
164,addressed,,93,98,2
165,addressing,,2591,1,3
166,adeezy,,94,99,2
167,adelebrumley,,95,100,2
168,adelson,,96,101,3
169,adept,,1350,1,3
170,adiosamerica,,97,102,2
171,adjacent,,98,103,2
172,adjust,,99,104,2
173,adjusted,,100,105,2
174,adjusting,,7377,1,4
175,adkradio,,101,106,2
176,admin,,559,1,3
177,administered,,102,107,2
178,administration,,559,1,12
179,administrator,,3917,1,3
180,admirable,,103,108,2
181,admiral,,2929,1,9
182,admiration,,104,109,2
