Id,Label,timeset,modularity_class,Degree
0,aa,,0,2
1,aaa,,2063,5
2,aaafivediamond,,2063,12
3,aaanews,,2063,10
4,aacrowellt,,1,3
5,aaron,,1862,4
6,aaronmcallorum,,2129,5
7,aaszkler,,1958,6
8,ab,,2155,5
9,abandon,,2109,3
10,abandoned,,144,3
11,abbas,,190,4
12,abbott,,75,3
13,abbydnyc,,278,7
14,abc,,1129,4
15,abcfamily,,2,2
16,abcinsc,,893,5
17,abcnews,,1907,4
18,abcpolitics,,1800,4
19,abcsharktank,,278,4
20,abcworldnews,,71,4
21,abdel,,584,4
22,abdul,,167,6
23,abdullah,,161,6
24,abe,,859,10
25,abedin,,3,10
26,abedini,,416,9
27,aberdeen,,1907,5
28,aberdeencc,,1907,8
29,aberdeenshire,,2128,10
30,aberdeenshirecc,,1907,7
31,abeshinzo,,859,11
32,abfalecbaldwin,,467,4
33,abiding,,467,9
34,ability,,4,2
35,able,,5,2
36,aboard,,893,5
37,abolish,,6,2
38,abortion,,2235,7
39,abouttherock,,7,2
40,abraham,,840,5
41,abrams,,729,9
42,abroad,,149,4
43,abrupt,,70,6
44,abruptly,,159,4
45,absentee,,888,8
46,absolute,,8,2
47,absolutely,,9,2
48,absorb,,392,7
49,abspara,,10,2
50,absurd,,71,5
51,abt,,161,4
52,abu,,71,13
53,abunnieslife,,1855,6
54,abuse,,11,2
55,abused,,2185,4
56,abuser,,883,4
57,abusing,,2185,8
58,abusive,,12,2
59,abysmal,,1907,5
60,ac,,2128,5
61,academic,,1969,5
62,academy,,106,5
63,accelerated,,521,4
64,accept,,13,2
65,acceptable,,14,2
66,acceptance,,130,4
67,accepted,,15,2
68,accepting,,1969,3
69,accepts,,416,7
70,access,,496,3
71,accesshollywood,,188,5
72,accessible,,159,4
73,accessory,,2191,5
74,accident,,690,3
75,accidental,,16,5
76,accidentally,,149,5
77,acclaim,,1967,6
78,acclaimed,,2056,4
79,accolade,,1967,5
80,accommodation,,2063,4
81,accomplish,,1956,6
82,accomplished,,17,2
83,accomplishing,,517,4
84,accomplishment,,18,2
85,accord,,2051,6
86,according,,2081,4
87,accordingly,,190,5
88,account,,19,2
89,accountability,,2017,4
90,accountable,,20,3
91,accounting,,1800,5
92,accronin,,21,3
93,accrued,,58,5
94,accruing,,22,2
95,acct,,75,6
96,accumulate,,584,7
97,accumulated,,2036,3
98,accumulation,,1711,4
99,accuracy,,23,3
100,accurate,,24,2
101,accurately,,1129,6
102,accusation,,2064,6
103,accused,,3,6
104,accuser,,888,4
105,accuses,,690,5
106,accusing,,159,4
107,ace,,25,2
108,achieve,,161,3
109,achieved,,70,4
110,achievement,,840,6
111,achiever,,840,8
112,achieverdan,,26,2
113,achieving,,27,3
114,acid,,28,12
115,ackmann,,1958,11
116,acknowledge,,29,2
117,acknowledged,,30,2
118,acknowledging,,167,5
119,acn,,525,3
120,acnnews,,130,4
121,acosta,,487,7
122,acquire,,31,3
123,acquiring,,2036,7
124,acquisition,,893,4
125,acquitted,,686,4
126,acre,,521,5
127,across,,1711,3
128,act,,2017,3
129,acted,,32,2
130,acting,,467,6
131,action,,416,3
132,active,,1129,4
133,actively,,2072,4
134,activism,,149,7
135,activist,,2072,5
136,activity,,33,2
137,actor,,34,2
138,actress,,2120,8
139,actual,,2064,3
140,actuality,,35,2
141,actually,,36,2
142,actuallydominic,,1958,6
143,acu,,2036,7
144,acuconservative,,2036,5
145,acumen,,2056,6
146,ad,,521,3
147,adair,,37,2
148,adam,,75,10
149,adamangus,,130,5
150,adamcarolla,,1800,5
151,adamscott,,38,2
152,adamsteinbaugh,,16,3
153,adapt,,1907,6
154,add,,39,2
155,added,,40,2
156,addicted,,278,4
157,addicting,,1129,6
158,addiction,,1888,5
159,adding,,485,7
160,addition,,41,2
161,additional,,42,2
162,additionally,,43,2
163,address,,44,2
164,addressed,,467,8
165,addressing,,58,4
166,adeezy,,417,4
167,adelebrumley,,45,2
168,adelson,,46,4
169,adept,,3,8
170,adiosamerica,,16,6
171,adjacent,,1711,5
172,adjust,,2227,4
173,adjusted,,75,5
174,adjusting,,2178,6
175,adkradio,,47,2
176,admin,,71,3
177,administered,,2120,7
178,administration,,48,2
179,administrator,,184,9
180,admirable,,729,5
181,admiral,,2064,8
182,admiration,,467,4
183,admire,,49,3
184,admired,,487,8
185,admirer,,1951,5
186,admission,,2227,7
187,admit,,50,2
188,admits,,1888,3
189,admitted,,51,2
190,admitting,,52,2
191,admonished,,600,6
192,adorable,,517,7
193,adore,,1956,4
194,adores,,467,4
195,adrian,,2063,6
196,adriannamarie,,188,5
197,adult,,2157,6
198,adultprodigy,,53,2
199,advance,,54,2
200,advanced,,167,4
201,advancing,,181,6
202,advantage,,55,2
203,adventure,,417,8
204,adversary,,521,4
205,adverse,,71,3
206,adversity,,149,4
207,advertina,,106,5
208,advertisement,,1129,6
209,advertiser,,584,3
210,advertising,,1907,3
211,advice,,144,4
212,advise,,2072,6
213,advised,,2060,4
214,adviser,,56,2
215,advisor,,57,2
216,advisory,,2120,4
217,advocate,,98,12
218,advocated,,1800,7
219,advocating,,302,4
220,adw,,1958,5
221,aec,,302,6
222,aeronmalone,,2128,6
223,aerosmith,,2051,5
224,aerospace,,236,6
225,aesthetic,,1907,3
226,aetna,,58,5
227,af,,106,4
228,afbf,,58,6
229,affair,,2064,5
230,affect,,485,7
231,affected,,111,3
232,affecting,,167,5
233,affection,,888,5
234,affiliate,,1800,6
235,affirmative,,144,13
236,afford,,120,3
237,affordable,,59,2
238,afghan,,2178,4
239,afghani,,60,4
240,afghanistan,,60,3
241,afl,,111,6
242,afphq,,71,6
243,afraid,,2157,3
244,africa,,159,7
245,african,,99,3
246,afrodeziak,,888,9
247,aftermath,,28,7
248,afternoon,,61,2
249,afthunderbirds,,251,3
250,ag,,883,4
251,agalarovaras,,167,8
252,age,,62,2
253,agegrilli,,417,3
254,agency,,63,2
255,agenda,,98,4
256,agent,,1800,4
257,agentvf,,2227,4
258,aggressive,,106,4
259,aggressively,,2081,5
260,agitator,,70,4
261,agnesphagnes,,71,3
262,ago,,64,2
263,agree,,65,3
264,agreed,,66,2
265,agreeing,,67,3
266,agreement,,28,4
267,agrees,,2155,3
268,agricultural,,417,7
269,agriculture,,1888,5
270,agschneiderman,,883,13
271,agustin,,2128,7
272,ah,,584,4
273,ahead,,106,5
274,ahernandeza,,2109,5
275,ahmadinejad,,2227,6
276,ahmed,,58,6
277,aid,,1969,3
278,aide,,3,5
279,aided,,161,4
280,aiding,,144,7
281,aig,,302,5
282,ailes,,517,9
283,ailsa,,388,6
284,aim,,416,4
285,aimed,,2063,7
286,aiming,,181,3
287,ainsleyearhardt,,2056,4
288,aipac,,388,5
289,air,,119,7
290,airbus,,58,6
291,aircraft,,893,5
292,aired,,840,4
293,airing,,130,3
294,airline,,2072,4
295,airplane,,1931,7
296,airport,,1855,7
297,airspace,,149,5
298,airstrikes,,181,4
299,airtime,,416,4
300,airwave,,1931,4
301,airway,,58,7
302,aj,,517,8
303,ajbruno,,2231,3
304,ajmccarron,,95,5
305,ak,,690,5
306,aka,,1022,4
307,akd,,68,2
308,akers,,2081,4
309,akmackey,,69,3
310,akoya,,2155,8
311,akron,,2128,5
312,akudej,,70,5
313,al,,71,10
314,alabama,,505,13
315,alabamaftbl,,72,2
316,alaina,,840,4
317,alan,,888,4
318,alandersh,,111,6
319,alarm,,2072,11
320,alarmed,,111,6
321,alaska,,73,2
322,albany,,2051,4
323,albeit,,111,7
324,albert,,302,7
325,album,,103,7
326,albuquerque,,2207,4
327,alcardenasacu,,2036,5
328,alcohol,,388,5
329,alec,,467,10
330,alejandro,,2251,4
331,aleksmm,,849,4
332,alert,,3,6
333,alerted,,485,8
334,aleshaxo,,74,3
335,alex,,1907,5
336,alexander,,1800,5
337,alexandria,,75,5
338,alexarancio,,893,6
339,alexdub,,76,2
340,alexis,,859,6
341,alexpappas,,1022,7
342,alexpattillo,,487,5
343,alexsalmond,,1907,16
344,alexvent,,77,3
345,alfred,,893,5
346,algae,,2157,5
347,algemeiner,,840,4
348,algiers,,2081,5
349,algore,,2051,5
350,ali,,103,6
351,alice,,78,2
352,aliceengle,,392,3
353,alicia,,28,7
354,alien,,467,7
355,alike,,111,3
356,alison,,849,5
357,alive,,79,2
358,alivelutheran,,1129,5
359,allaboutthetea,,80,4
360,allegation,,81,2
361,alleged,,28,9
362,allegedly,,521,4
363,allegiance,,2231,5
364,allen,,2235,5
365,allenwest,,82,2
366,allenwronowski,,485,8
367,alliance,,2051,6
368,allied,,103,10
369,allis,,98,9
370,alllllll,,130,6
371,allocated,,184,9
372,allow,,83,2
373,allowed,,467,4
374,allowing,,84,2
375,allows,,70,4
376,allred,,1800,7
377,allreddd,,417,4
378,ally,,85,2
379,allyn,,98,5
380,almost,,86,2
381,alone,,87,2
382,along,,88,2
383,aloracai,,2109,3
384,alot,,849,5
385,alpha,,1800,8
386,alphaquintesson,,2191,4
387,alphatreblesix,,467,6
388,already,,89,2
389,alright,,2056,6
390,alsicebucketchallenge,,1800,5
391,alsisiofficial,,859,7
392,also,,90,2
393,alternative,,91,2
394,although,,92,3
395,alum,,71,5
396,aluminum,,2178,5
397,alumnus,,1800,6
398,alwaleed,,1800,5
399,alwaleedbint,,161,4
400,always,,93,2
401,alwaystrump,,94,2
402,alyssa,,302,4
403,alyssamenasci,,859,3
404,amanda,,95,5
405,amandajocountry,,181,4
406,amandaknox,,859,4
407,amandatmiller,,2063,3
408,amassed,,58,5
409,amateur,,690,3
410,amaze,,729,6
411,amazed,,1888,4
412,amazing,,96,2
413,amazingly,,97,2
414,amazon,,2072,5
415,amazonwashingtonpost,,2120,5
416,amb,,496,9
417,ambassador,,28,4
418,ambassadorship,,496,5
419,amber,,1800,6
420,ambiguous,,28,12
421,ambition,,2155,8
422,ambitious,,849,4
423,ambjohnbolton,,1907,4
424,ambushed,,95,4
425,ame,,2109,3
426,ameliasg,,311,6
427,amen,,58,5
428,amendment,,98,26
429,amenity,,144,7
430,amercia,,840,7
431,america,,859,3
432,americafirst,,1907,3
433,american,,99,3
434,americanaspie,,130,3
435,americanlegion,,2017,5
436,americanowradio,,2251,5
437,americanpatientsfirst,,1951,9
438,americanselect,,311,5
439,americanst,,119,6
440,ames,,422,4
441,amherst,,496,6
442,amid,,883,3
443,amir,,58,9
444,amira,,888,6
445,amirite,,188,6
446,amit,,3,3
447,ammo,,2178,3
448,ammunition,,1907,3
449,amnesty,,100,2
450,among,,1907,3
451,amount,,2207,3
452,amspec,,2155,11
453,amstaffbru,,147,5
454,amtrak,,70,4
455,amuller,,101,2
456,amy,,71,8
457,amyklobuchar,,893,10
458,amymek,,361,3
459,ana,,103,6
460,anaheim,,278,3
461,analysis,,392,5
462,analyst,,1129,3
463,analyze,,392,7
464,analyzing,,16,4
465,ananavarro,,496,5
466,anarchist,,181,9
467,anarchy,,103,4
468,anchor,,102,2
469,anchored,,888,5
470,ancient,,517,4
471,andersengell,,103,5
472,anderson,,111,5
473,andersoncooper,,2185,3
474,andey,,103,4
475,andeyr,,103,4
476,andigriffin,,104,2
477,andlex,,105,2
478,andre,,106,4
479,andrea,,584,4
480,andreatantaros,,1022,4
481,andres,,75,7
482,andretti,,1958,7
483,andrew,,2129,8
484,andrewbreitbart,,71,3
485,andrewkirell,,1969,4
486,andrzej,,58,6
487,andy,,2251,9
488,andybran,,1956,6
489,andydean,,2185,4
490,andypettitte,,883,4
491,andypuzder,,1129,4
492,andyrichter,,2207,5
493,andyroddick,,2251,4
494,anemic,,106,5
495,angel,,2072,5
496,angela,,859,7
497,angeles,,2128,10
498,angelina,,392,4
499,angelo,,16,5
500,angeloftruth,,496,3
501,anger,,107,2
502,angie,,108,2
503,angiecallahan,,58,4
504,angle,,144,8
505,angrily,,159,12
506,angry,,2185,3
507,animal,,109,2
508,anitamarkdjones,,110,2
509,anjoaparicio,,2207,5
510,ankle,,111,8
511,ann,,521,6
512,anna,,496,8
513,annapolis,,451,10
514,anncoulter,,16,5
515,anndromney,,112,2
516,anne,,103,5
517,annesi,,2235,3
518,annettenavaret,,113,2
519,annie,,517,7
520,anniedrews,,729,3
521,anniehepburn,,422,5
522,anniversary,,106,4
523,annmcg,,278,6
524,announce,,2231,4
525,announced,,114,2
526,announcement,,115,2
527,announcer,,116,3
528,announces,,2036,3
529,announcing,,117,2
530,annoyed,,192,6
531,annoying,,584,4
532,annual,,840,4
533,annually,,883,6
534,anon,,161,4
535,anonymous,,190,7
536,another,,118,2
537,answer,,2056,4
538,answered,,236,5
539,answering,,236,7
540,ant,,181,5
541,antarctica,,119,13
542,antbaxter,,517,4
543,anthem,,58,10
544,anthony,,3,9
545,anthonyjmyers,,1888,3
546,anthonyolgin,,485,3
547,anthonyskwiat,,120,6
548,anthonyweiner,,3,8
549,anti,,95,6
550,antic,,28,7
551,anticipate,,2063,6
552,anticipated,,121,2
553,anticipating,,896,3
554,anticipation,,122,2
555,antifa,,181,8
556,antitrust,,1951,6
557,anton,,188,3
558,antonio,,2235,4
559,antonioguterres,,584,7
560,antonvonclouse,,2064,4
561,anwar,,2063,4
562,anxiety,,16,5
563,anxious,,278,5
564,anxiously,,2227,8
565,anybody,,123,2
566,anyhow,,2157,7
567,anymore,,124,2
568,anyone,,125,2
569,anything,,126,2
570,anytime,,2185,4
571,anyway,,98,3
572,anywhere,,127,2
573,aoc,,75,7
574,aol,,147,8
575,ap,,302,7
576,apart,,2072,7
577,apartment,,111,5
578,apec,,2227,5
579,aphonapelma,,236,3
580,aplemonlemon,,70,5
581,apoliticalbear,,485,4
582,apollo,,584,8
583,apologize,,888,5
584,apologized,,128,2
585,apologizes,,149,4
586,apologizing,,58,6
587,apology,,129,2
588,apoplectic,,2227,7
589,app,,893,4
590,appalachian,,130,7
591,appalled,,161,4
592,apparatus,,1129,4
593,apparel,,98,6
594,apparent,,416,6
595,apparently,,467,5
596,appeal,,131,2
597,appealed,,75,3
598,appealing,,1862,4
599,appear,,2056,7
600,appearance,,132,2
601,appeared,,485,5
602,appearing,,849,3
603,appears,,189,3
604,appetite,,849,5
605,applaud,,133,2
606,applause,,188,5
607,apple,,149,8
608,applicant,,417,5
609,application,,236,3
610,applied,,388,3
611,applies,,150,6
612,apply,,2060,3
613,applying,,2036,3
614,appoint,,521,4
615,appointed,,2128,3
616,appointee,,1931,6
617,appointing,,2120,6
618,appointment,,149,3
619,appreciate,,2128,4
620,appreciated,,134,2
621,appreciates,,111,7
622,appreciation,,2129,3
623,appreciative,,311,6
624,apprehend,,135,2
625,apprehended,,392,5
626,apprehending,,2056,6
627,apprehension,,28,5
628,apprentice,,388,11
629,apprenticenbc,,278,19
630,approach,,184,7
631,approaching,,136,2
632,appropriate,,137,2
633,appropriately,,75,7
634,appropriation,,138,2
635,approval,,2157,4
636,approve,,392,3
637,approved,,139,2
638,approves,,161,5
639,approving,,2017,4
640,approx,,75,7
641,approximately,,140,2
642,appsame,,111,4
643,april,,729,4
644,aptitude,,120,5
645,ar,,467,5
646,arab,,141,3
647,arabia,,161,5
648,arabianbusiness,,71,5
649,arabinkid,,142,2
650,arbitration,,2064,5
651,archangeljf,,143,4
652,archbishop,,517,3
653,architect,,111,8
654,architectural,,2063,3
655,architecture,,2128,7
656,arcuate,,1907,11
657,area,,2051,5
658,arekrnbn,,416,4
659,arena,,517,7
660,arenatv,,278,6
661,aretha,,2227,5
662,argentina,,3,7
663,argue,,98,6
664,argued,,840,4
665,arguing,,517,5
666,argument,,781,3
667,ari,,103,3
668,aria,,1967,5
669,arianna,,147,7
670,ariannahuff,,147,10
671,arifleischer,,1022,4
672,arise,,893,7
673,aristotle,,2227,3
674,arizona,,2056,6
675,arizonaprimary,,2147,5
676,arkansas,,1711,5
677,arlington,,144,9
678,arlingtonnatl,,144,14
679,arm,,145,2
680,armed,,467,8
681,arming,,2064,9
682,armstrong,,147,7
683,army,,2081,3
684,armynavygame,,521,5
685,armywp,,521,7
686,arnie,,2056,5
687,arnold,,1711,6
688,arod,,111,8
689,around,,2060,4
690,arpaio,,1800,6
691,arranged,,184,5
692,arrangement,,119,5
693,array,,2056,6
694,arrest,,98,4
695,arrested,,1951,3
696,arrestjoepa,,167,4
697,arrington,,2120,5
698,arrival,,2120,4
699,arrive,,278,6
700,arrived,,416,3
701,arrives,,167,5
702,arriving,,111,4
703,arrogance,,130,5
704,arrogant,,103,6
705,arrow,,146,3
706,arseburgers,,16,5
707,arsenal,,147,7
708,arsenio,,893,4
709,arseniohall,,893,4
710,arsenioofficial,,485,3
711,arsonist,,181,8
712,art,,487,9
713,arthur,,467,6
714,article,,148,2
715,articulate,,161,4
716,artificial,,149,6
717,artificially,,467,6
718,artist,,487,5
719,artistic,,190,8
720,artofthedeal,,150,5
721,artpar,,1862,4
722,artwork,,2128,5
723,as,,416,5
724,asa,,1711,5
725,asaadhutchinson,,151,3
726,asadtmoosvi,,417,3
727,asahutchinson,,1711,6
728,asap,,152,2
729,asavagenation,,149,3
730,aseansummit,,149,4
731,asenaphotograph,,729,3
732,ash,,584,3
733,ashamed,,153,2
734,ashbash,,2231,3
735,asheville,,119,5
736,ashish,,2081,8
737,ashley,,2227,5
738,ashleyedam,,28,4
739,ashleyrparker,,16,4
740,asia,,2207,3
741,asian,,2060,6
742,aside,,517,5
743,asinine,,28,5
744,ask,,2227,3
745,asked,,2109,3
746,asking,,154,2
747,askkevin,,1958,5
748,asks,,70,3
749,askthedonald,,236,7
750,asktrump,,2056,4
751,asleep,,521,4
752,asman,,690,6
753,aspect,,16,3
754,aspen,,28,9
755,aspiration,,155,2
756,aspire,,159,4
757,aspiring,,417,5
758,ass,,302,6
759,assad,,95,8
760,assange,,1907,4
761,assault,,1780,3
762,assaulted,,156,2
763,assaulter,,144,5
764,assaulting,,75,9
765,assembly,,149,7
766,assessment,,28,5
767,asset,,157,2
768,asshole,,28,6
769,assignment,,111,5
770,assist,,2017,4
771,assistance,,106,3
772,assistant,,1931,7
773,associate,,392,8
774,associated,,422,3
775,association,,1951,6
776,assume,,158,2
777,assuming,,496,4
778,assurance,,119,5
779,assure,,1800,4
780,assured,,302,12
781,astonishing,,2109,8
782,astoria,,893,7
783,astound,,521,7
784,astounding,,75,4
785,astronaut,,119,7
786,astros,,159,6
787,aswoyer,,422,7
788,asylum,,160,3
789,ate,,2063,8
790,athlete,,58,5
791,athletic,,161,7
792,atkins,,161,4
793,atkinson,,1129,6
794,atl,,2064,5
795,atlanta,,1931,4
796,atlantic,,2017,5
797,atmosphere,,487,6
798,atrium,,159,8
799,atrocious,,1907,6
800,atrocity,,95,10
801,att,,888,5
802,attached,,2063,5
803,attack,,130,3
804,attacked,,162,2
805,attacker,,2051,5
806,attacking,,2128,3
807,attempt,,163,2
808,attempted,,190,4
809,attempting,,422,6
810,attend,,521,4
811,attendance,,111,6
812,attended,,2051,3
813,attendee,,1876,3
814,attending,,164,2
815,attends,,278,8
816,attention,,150,3
817,attitude,,1931,3
818,attkisson,,1800,6
819,attn,,120,5
820,attorney,,2178,6
821,attract,,2128,4
822,attracted,,75,11
823,attracting,,165,2
824,attraction,,2081,4
825,attribute,,278,6
826,attributed,,106,5
827,au,,71,6
828,aub,,2235,4
829,aubrey,,130,4
830,aubry,,517,6
831,auburnfan,,2227,6
832,auction,,144,8
833,audacity,,505,5
834,audience,,166,2
835,audio,,75,3
836,audit,,159,3
837,auditorium,,517,4
838,audrey,,167,7
839,aug,,417,6
840,auggerdogger,,311,4
841,august,,98,3
842,augusta,,149,3
843,augustine,,1855,9
844,aurora,,1862,4
845,ausbiz,,1800,4
846,aussie,,2235,5
847,austin,,236,4
848,austinroneil,,2017,4
849,austinsaysthat,,168,2
850,australia,,188,3
851,australian,,485,6
852,author,,169,2
853,authored,,859,3
854,authority,,1907,3
855,authorization,,584,9
856,authorized,,170,2
857,autism,,2063,7
858,autismspeaks,,2063,8
859,autistic,,1969,6
860,auto,,2128,3
861,autobiography,,167,4
862,autograph,,2063,6
863,autographed,,2063,4
864,automaker,,189,7
865,automatic,,106,5
866,automatically,,236,4
867,automobile,,2191,8
868,autoworkers,,171,2
869,autumnandews,,172,2
870,avail,,600,6
871,available,,2191,8
872,ave,,584,5
873,avellacompany,,71,3
874,avenue,,1129,4
875,average,,2191,3
876,avert,,58,5
877,aviation,,2081,6
878,aviv,,859,6
879,avoid,,75,4
880,avoided,,150,5
881,avoiding,,1129,3
882,avp,,1855,10
883,await,,2227,6
884,awaited,,888,5
885,awaiting,,2227,6
886,awaits,,278,3
887,awake,,149,5
888,awakkentv,,2036,5
889,award,,893,4
890,awarded,,2063,5
891,awarding,,521,5
892,aware,,173,2
893,awareness,,2063,7
894,away,,174,2
895,awe,,849,6
896,awesome,,840,4
897,awesomeness,,189,5
898,awful,,487,5
899,awhile,,175,2
900,awizzel,,176,2
901,awkward,,188,9
902,awol,,2251,6
903,awwww,,517,6
904,axelrod,,2017,5
905,axios,,147,6
906,axlrose,,496,3
907,ayers,,302,3
908,ayrshire,,95,4
909,ayrshirechamber,,95,4
910,ayrshirepost,,388,4
911,az,,1800,5
912,azar,,1907,7
913,azdaniel,,1958,5
914,azprimary,,2147,6
915,babble,,729,6
916,babe,,181,4
917,baby,,177,2
918,babyfuzz,,1958,4
919,bachelor,,849,6
920,bachmann,,2231,7
921,back,,178,2
922,backbone,,2064,4
923,backdoor,,2128,6
924,backdrop,,179,3
925,backed,,302,3
926,backer,,1800,5
927,backfire,,2056,6
928,backfired,,1969,6
929,background,,1967,3
930,backing,,95,7
931,backlash,,422,5
932,backontrackusa,,2064,6
933,backstage,,1711,4
934,backup,,849,6
935,backwards,,161,4
936,bacon,,295,3
937,bad,,180,2
938,bader,,181,9
939,badgering,,893,5
940,badly,,106,3
941,badratings,,182,2
942,baffling,,2227,8
943,bag,,517,7
944,baghdad,,71,8
945,baghdadi,,71,10
946,bahamas,,859,4
947,bahamian,,859,5
948,bahia,,183,2
949,bahrain,,144,5
950,baier,,2155,8
951,bail,,161,3
952,bailed,,505,6
953,bailey,,71,8
954,bailing,,2072,8
955,bailout,,189,6
956,bain,,416,3
957,baited,,840,6
958,baitedtrap,,451,4
959,baiting,,505,4
960,baker,,2185,8
961,bakr,,71,7
962,balance,,119,5
963,balanced,,70,6
964,balancing,,236,8
965,balcony,,144,8
966,bald,,1907,7
967,balderson,,106,4
968,baldwin,,467,11
969,bale,,2060,4
970,balkesgirl,,278,5
971,ball,,120,4
972,ballabon,,75,7
973,ballard,,840,4
974,ballgame,,184,9
975,ballistic,,119,8
976,ballot,,888,4
